question,sentence,label,idx
When is the funfair held in Newcastle?,"The Hoppings funfair, said to be the largest travelling funfair in Europe, is held here annually in June.",0,1389
When did the last glacial start?,"The last glacial ran from ~74,000 (BP = Before Present), until the end of the Pleistocene (~11,600 BP).",0,2443
Who discovered this and where did they come from?,"The development of this fertile soil allowed agriculture and silviculture in the previously hostile environment; meaning that large portions of the Amazon rainforest are probably the result of centuries of human management, rather than naturally occurring as has previously been supposed.",1,5462
Where was war fought?,"The war was fought primarily along the frontiers between New France and the British colonies, from Virginia in the South to Nova Scotia in the North.",0,94
How did Luther describe his time in the order?,"He said, ""I lost touch with Christ the Savior and Comforter, and made of him the jailer and hangman of my poor soul.""",1,1298
"How many people lived in Fresno in 2000, according to the Census Bureau?",Hispanic or Latino of any race were 39.9% of the population.,1,2097
What is the title of Edwards book about Luther?,"Edwards also comments that Luther often deliberately used ""vulgarity and violence"" for effect, both in his writings condemning the Jews and in diatribes against ""Turks"" (Muslims) and Catholics.",1,2068
Who masterminded many terror attacks?,"One result of this was a campaign of attacks on government officials and tourists in Egypt, a bloody civil war in Algeria and Osama bin Laden's terror attacks climaxing in the 9/11 attack.",0,1813
What has lately been being viewed as a fundamental status of member state nationals by the Court of Justice?,"In Commission v Austria the Court held that Austria was not entitled to restrict places in Austrian universities to Austrian students to avoid ""structural, staffing and financial problems"" if (mainly German) foreign students applied for places because there was little evidence of an actual problem.",1,1009
What combined with ricing prices to make it difficult or impossible for poor people to keep pace?,The ad valorem property tax policy combined with rising prices made it difficult or impossible for low income residents to keep pace.,0,187
"When did Luther's writings to spread to France, England and Italy?","To the Christian Nobility of the German Nation, On the Babylonian Captivity of the Church, and On the Freedom of a Christian.",1,2335
Between what times does Good Morning America air on ABC?,"Daytime programming is also provided from 11:00 a.m. to 3:00 p.m. weekdays (with a one-hour break at 12:00 p.m. Eastern/Pacific for stations to air newscasts, other locally produced programming such as talk shows, or syndicated programs) featuring the talk/lifestyle shows The View and The Chew and the soap opera General Hospital.",1,4077
What position does Danny Trevathan play?,"However, the Panthers soon took the ball back when defensive end Kony Ealy tipped a Manning pass to himself and then intercepted it, returning the ball 19 yards to the Panthers 39-yard line with 1:55 left on the clock.",1,4993
"How many Doctor Who episodes have been shown, in total?","826 Doctor Who instalments have been televised since 1963, ranging between 25-minute episodes (the most common format), 45-minute episodes (for Resurrection of the Daleks in the 1984 series, a single season in 1985, and the revival), two feature-length productions (1983's The Five Doctors and the 1996 television film), eight Christmas specials (most of 60 minutes' duration, one of 72 minutes), and four additional specials ranging from 60 to 75 minutes in 2009, 2010 and 2013.",0,3077
When was most of Sunnside developed?,"Largely developed in the 1950s through the 1970s, it has recently experienced a surge in new home construction.",0,4082
What did the General Conference on Weights and Measures name after Tesla in 1960?,"His patents earned him a considerable amount of money, much of which was used to finance his own projects with varying degrees of success.:121,154",1,932
What did Tesla develop in 1887?,The motor used polyphase current which generated a rotating magnetic field to turn the motor (a principle Tesla claimed to have conceived in 1882).,1,3738
What player won the MVP in Super Bowl V?,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players.",1,2884
